"","N","T","coef1_ols","sd1_ols","coef2_ols","sd2_ols","coef1_within","sd1_within","coef2_within","sd2_within","coef1_IEF","sd1_IEF","coef2_IEF","sd2_IEF"
"1",100,3,1.25578641124989,0.525427934561406,3.17712973293011,0.496076493350538,1.35473875941589,0.133996166640578,3.33122584513313,0.137736226320979,1.17246016479984,0.248787927117928,3.13345897283921,0.235372104422987
"2",100,5,1.30594075165301,0.205343778556631,3.15789734982231,0.194106139352905,1.36240064261689,0.153470011224051,3.37967682838112,0.110732951541249,1.09561941438086,0.180370640649071,3.17869332783907,0.115007455197681
"3",100,10,1.19721099190451,0.137365454272611,3.24228850271078,0.173015716537464,1.41059333662385,0.0441908464700763,3.40730117440966,0.0436226330817887,1.0647243107089,0.0747759215800084,3.07909847224069,0.109546275854598
"4",100,20,1.2383444412269,0.0642485489858438,3.26226218400443,0.0815171824825595,1.43297198239537,0.0339927715700755,3.42012641638612,0.0338181898106297,1.08629141222253,0.0684862231790875,3.07846786386585,0.0474579772621956
"5",100,50,1.24452508741497,0.0477765182406216,3.23365335075946,0.0515823498721374,1.46928279238597,0.0233092184011151,3.4701991303097,0.0241636862651167,1.07949508900841,0.0604851205426718,3.07360136560532,0.0804048460051627
"6",100,100,1.25067377824506,0.130913981710214,3.23158520244249,0.141292696062065,1.47862415333674,0.0147444302526931,3.47960662793352,0.021814684551364,1.07143895013755,0.0781703497954308,3.07964443304614,0.0917619060344046
"7",3,100,1.00061088466296,0.37481025818098,3.28257269535462,0.439096016162701,1.43525549650111,0.13703225529545,3.47635464069747,0.129243973140188,1.05493577391992,0.216338768312923,3.11502196524889,0.285308513780776
"8",5,100,1.22544633964706,0.219674687415412,3.16903787662831,0.226254962311054,1.46293845388368,0.054614959342495,3.48021300190574,0.0916984199016885,1.10290002124652,0.182994758032398,3.11061223851478,0.130596280801162
"9",10,100,1.22310009840841,0.20022502696869,3.20921034710087,0.13162993227828,1.44604690402356,0.0549584838995539,3.48906524829132,0.0323727420410165,1.11041370036393,0.108364168426103,3.13437140780065,0.0848667923219009
"10",20,100,1.24965746305316,0.0650431416394568,3.23202827227357,0.120356035969817,1.49619965151653,0.0356536967902662,3.45537674508405,0.0340811771940376,1.03317953284842,0.139489051939432,2.99306288004992,0.116396114689704
"11",50,100,1.24889982312952,0.086886341541441,3.20783645896337,0.0570420289727495,1.4647996611341,0.0276726112621257,3.48617848444066,0.0216287654559573,1.02578159382758,0.082571956768787,3.04326381898822,0.10461818976078
