"","N","T","coef1_ols","sd1_ols","coef2_ols","sd2_ols","coef1_within","sd1_within","coef2_within","sd2_within","coef1_infeasible","sd1_infeasible","coef2_infeasible","sd2_infeasible","coef1_interactive","sd1_interactive","coef2_interactive","sd2_interactive"
"1",100,3,1.13430885286435,0.0771862872721634,3.12221324630863,0.142094303956428,1.3885384794544,0.0658402953028705,3.34030821719552,0.0879191316696384,1.07786983815423,0.0814753647245644,2.95399216850833,0.128965570372419,1.09432247667166,0.112065859744094,3.05841194316625,0.0845453404761498
"2",100,5,1.13418100561699,0.0639899200417614,3.12172186779135,0.0471423295589501,1.41400296620837,0.0571215627182428,3.37656422638704,0.0371374263761023,0.997993648728704,0.0728706767586262,2.9851117735929,0.0775019598014885,1.24186691845753,0.100909840145609,3.17986619949172,0.0820043372544127
"3",100,10,1.14057632546519,0.057721736825623,3.1295373027908,0.063375207405737,1.37941927453442,0.0453852879832451,3.39723165689628,0.0285280188213389,1.01965736213335,0.0498990304702853,3.00820143236537,0.040634372714451,1.18769794596371,0.0846303937390541,3.20267504667404,0.0649039043182626
"4",100,20,1.13722788065897,0.0532337404053541,3.12997351687665,0.059967913514964,1.39698283948394,0.0256320974409474,3.40035646898832,0.0454413102709281,0.99868179405943,0.0562986158844386,3.0023406191096,0.0476324063757197,1.17940167742131,0.172815986755814,3.18086898348306,0.107978308730548
"5",100,50,1.13479330900159,0.0231186333960288,3.14090329335583,0.0262543826157198,1.39444428035491,0.0145273019412627,3.40224354160143,0.0190838079105532,1.00113246539412,0.0210390758603995,3.0004425041538,0.0238439884368516,1.02660342812564,0.047346765099938,3.02356618796553,0.0575843629872476
"6",100,100,1.12354034117992,0.0236693930085222,3.13631690661277,0.0250538073639496,1.38455001282397,0.0207417744150402,3.40294929557197,0.0220344860715973,0.995736285220511,0.0196281227104073,3.01015618370769,0.0190095468141229,0.997776729687182,0.0323901927042697,3.01063846557525,0.0217156760823106
"7",3,100,1.04855693396165,0.129009260304845,3.13314677889344,0.122647459773203,1.34611434286193,0.118731906983415,3.3834277561995,0.0945370744149589,0.923950895529962,0.0919321069700815,2.98361585161273,0.0803316355490273,1.09249586837579,0.120846724034084,3.08831326770165,0.149873471303505
"8",5,100,1.13864872205862,0.089001123645618,3.11457842598438,0.0691907074147564,1.37545285061067,0.084284437757989,3.35685166172194,0.120272377718146,1.03533254203126,0.0822259074823403,2.97300597630952,0.0736498331315547,1.0998168408953,0.136959527379965,3.03128075979606,0.101479679015839
"9",10,100,1.16067692487775,0.0303662523194171,3.10413580492187,0.0630830711174181,1.4043696235292,0.034990229687721,3.37667530189476,0.0796530245522111,1.01579156961267,0.0588632522098514,2.97634421739395,0.0259667755755661,1.03268242177419,0.108869038221389,3.02461351509328,0.0730743008134454
"10",20,100,1.1366307595276,0.0536298491147456,3.15883375393,0.0287072893592425,1.39220894945436,0.0407773842303272,3.40066026296443,0.0494380593775573,1.02079411960381,0.0570308098839332,3.02611346868536,0.0300161689661034,1.05000565565783,0.0635444082880561,3.06269952362877,0.0948454920817811
"11",50,100,1.1317119957061,0.0248560313656479,3.13691598399194,0.037690824312387,1.4024495962249,0.0293851275755964,3.3936775342081,0.029957316546468,0.991678295554213,0.0289764491125412,2.99484750483047,0.0229208594702707,0.998451165950695,0.0539298983661959,2.99898866539728,0.0343998136586951
