"","i","t","alpha1_coef1_ols","alpha1_sd1_ols","alpha1_coef2_ols","alpha1_sd2_ols","alpha1_coef1_within","alpha1_sd1_within","alpha1_coef2_within","alpha1_sd2_within","alpha1_coef1_interactive","alpha1_sd1_interactive","alpha1_coef2_interactive","alpha1_sd2_interactive","alpha2_coef1_ols","alpha2_sd1_ols","alpha2_coef2_ols","alpha2_sd2_ols","alpha2_coef1_within","alpha2_sd1_within","alpha2_coef2_within","alpha2_sd2_within","alpha2_coef1_interactive","alpha2_sd1_interactive","alpha2_coef2_interactive","alpha2_sd2_interactive","alpha4_coef1_ols","alpha4_sd1_ols","alpha4_coef2_ols","alpha4_sd2_ols","alpha4_coef1_within","alpha4_sd1_within","alpha4_coef2_within","alpha4_sd2_within","alpha4_coef1_interactive","alpha4_sd1_interactive","alpha4_coef2_interactive","alpha4_sd2_interactive","alpha8_coef1_ols","alpha8_sd1_ols","alpha8_coef2_ols","alpha8_sd2_ols","alpha8_coef1_within","alpha8_sd1_within","alpha8_coef2_within","alpha8_sd2_within","alpha8_coef1_interactive","alpha8_sd1_interactive","alpha8_coef2_interactive","alpha8_sd2_interactive","alpha16_coef1_ols","alpha16_sd1_ols","alpha16_coef2_ols","alpha16_sd2_ols","alpha16_coef1_within","alpha16_sd1_within","alpha16_coef2_within","alpha16_sd2_within","alpha16_coef1_interactive","alpha16_sd1_interactive","alpha16_coef2_interactive","alpha16_sd2_interactive"
"1",100,3,1.14334606606991,0.111657718912967,3.12853724465617,0.106837526344947,1.41722171780506,0.128599564285712,3.35938765832035,0.0862425435167174,1.03501467155362,0.214881086260992,2.95199985609673,0.260287580289883,1.26910532086853,0.162926362883061,3.26910213442005,0.159954533780423,1.79969729835148,0.16743890349028,3.75441411977236,0.0850022746607401,1.0597023893908,0.17912174198628,2.9538847963861,0.183485603685033,1.52062383046576,0.275856808310959,3.55023191394781,0.288970702731957,2.56464845944432,0.255093673255244,4.5444670426764,0.159725402147854,1.05052939672033,0.17236948638294,2.95912822376714,0.183388897560802,2.02366084966023,0.510674479753093,4.11249147300332,0.563601087001328,4.09455078163001,0.44194032265838,6.12457288848446,0.370043545237481,1.04373897327846,0.176712934497752,2.95961467676423,0.202212013699254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",100,5,1.13297315736412,0.0896981093399748,3.14738646878414,0.0827055748158774,1.39384287601104,0.0526418747120131,3.37807069086351,0.0960410830174744,1.06264720181112,0.14385006124456,3.04670386328735,0.133142924214581,1.27524059928677,0.132259548448133,3.28795343964043,0.117740060538027,1.79017191982268,0.0666011819873934,3.76418489128615,0.129385435749298,1.00360012945574,0.112714360706133,2.98313178082187,0.0873413103810342,1.55977548313206,0.2301671979498,3.56908738135301,0.19183511806928,2.58283000744595,0.123233080010744,4.53641329213142,0.199344220598017,1.00030029809791,0.106959851920894,2.97290274664686,0.0942036951140688,2.12884525082263,0.436243447467023,4.13135526477816,0.343872910448906,4.1681461826925,0.257631589015111,6.08087009382196,0.342913504023494,1.00083440909312,0.105590179597985,2.97011975280465,0.0978843199024964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",100,10,1.11826977201381,0.0533642503165706,3.14010532658741,0.0716029677251127,1.37975715401754,0.0543191640223722,3.40223288065955,0.0590343970654416,0.989343742234161,0.032160506146748,3.00016774402275,0.0806277293444367,1.24496442088695,0.0768199719562702,3.2794437799883,0.112644207777277,1.77102600966648,0.0726249068271278,3.79396923127692,0.0739231513140872,0.977698954210044,0.0306331327684668,2.98963129609297,0.0660775616420818,1.49835371863323,0.136826270188348,3.55812068679007,0.2062140570647,2.55356372096435,0.117933217200653,4.57744193251165,0.122601473537177,0.975371176712297,0.0321999402369647,2.98755544326149,0.0607323145304427,2.00513231412579,0.266858820186459,4.11547450039362,0.401302249648746,4.11863914356011,0.217073718797791,6.14438733498113,0.237893836167681,0.974430564485928,0.0335532974949396,2.9865838615847,0.0590479513782385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100,20,1.13004114709132,0.0415016983956133,3.13009824477456,0.0304623154290978,1.38018349597017,0.0423266314026748,3.39352767960048,0.0272219446361246,1.01514159835147,0.0377213629237879,3.01815024175444,0.0310029171968112,1.26205591425218,0.0658192680089577,3.25476620793728,0.0445364346792708,1.76655865213202,0.0638282312186698,3.78119242435513,0.0391736061410963,1.00668530526778,0.0353201318166296,3.01382287037026,0.0300763439671358,1.52608544857391,0.120091332658534,3.50410213426272,0.0814575448478802,2.53930896445574,0.110060288105457,4.55652191386443,0.0738075902410242,1.00524817682743,0.0350690131189934,3.01348071627701,0.0306899206576322,2.05414451721736,0.232555714697339,4.00277398691359,0.161561215592581,4.08480958910316,0.205155101143307,6.10718089288303,0.150257102810877,1.00473473164602,0.0352141256752194,3.01343948986745,0.0313902853202392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",100,50,1.13238322546995,0.0208472052830204,3.13245160405787,0.0239484218637856,1.39159641111759,0.0222411411600184,3.39552764231721,0.018716073577645,0.997229466947722,0.0164908394496966,3.00607741252796,0.0169338141245932,1.27137475692023,0.0306534017131234,3.25896735158796,0.0374916997181637,1.79272561829801,0.0355093327359441,3.78923654635217,0.0279590199087719,0.995891841530097,0.0172096726925309,3.00474753515705,0.0174330151260035,1.54935781982078,0.0524148947551931,3.51199884664813,0.0671732069682342,2.59498403265884,0.0675218749706104,4.57665435442208,0.0547055251432928,0.995796189043595,0.0175529147141092,3.00472373425649,0.0176551714627695,2.10532394562189,0.0977407876890668,4.01806183676848,0.128433281318778,4.19950086138052,0.134977754162299,6.15148997056192,0.113169331225855,0.996079758511229,0.0176143705030881,3.00504225500108,0.017881990346743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",100,100,1.14089585101542,0.01114225392918,3.12641299635599,0.00836335815853956,1.40719308034536,0.0177769945884326,3.3926786641864,0.011050402724994,1.00656931146106,0.0127387286311978,2.99488723986485,0.0146850343006686,1.27626123576087,0.018805475393541,3.2575075007398,0.0169218687619396,1.80879684004098,0.0219650998627725,3.79132599899055,0.0182144567616791,1.00571857648476,0.0126371685115347,2.99398495386636,0.014673950482273,1.54699200525178,0.0404032337631005,3.5196965095074,0.040709385576555,2.61200435943221,0.0351355024083311,4.58862066859884,0.0373349384333554,1.00550711630526,0.0126411925309695,2.99374126376326,0.0146688082508537,2.0884535442336,0.0864239839611071,4.04407452704261,0.0902853786728528,4.21841939821467,0.0664468090387808,6.18321000781541,0.0780348928756265,1.0053775423023,0.0125860865949256,2.99358608186362,0.0147407750063886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3,100,1.11344028366001,0.0518704181183824,3.11892092479042,0.112261584940699,1.3641366245584,0.116893467709411,3.32106766774915,0.121630955149996,1.0790089804769,0.134856346932648,2.98729813066893,0.0957231458824105,1.21836231129149,0.061611794905091,3.25438961698774,0.170977553171255,1.72905152773112,0.173797478147651,3.67922904864031,0.179869145993721,1.07436892107872,0.140885850302973,3.02276497971155,0.132263854700592,1.42820636655444,0.114236635930673,3.52532700138236,0.300051785632492,2.45888133407657,0.297620224002633,4.39555181042262,0.328447080265615,0.98947835919896,0.164755472942478,3.00221062604382,0.0795225170630073,1.84789447708036,0.244397625453957,4.06720177017162,0.567249763700174,3.91854094676745,0.553605779184004,5.82819733398725,0.648501634711512,0.982365042197126,0.164059148727671,3.01533463627038,0.0805843324433246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5,100,1.15866930648037,0.0930438735751128,3.15505208022543,0.10795226432257,1.38814366087274,0.0878139909099302,3.37619883230373,0.155959861996378,1.08067293255419,0.0943068151220742,3.03472365657887,0.129255133634206,1.30466201839936,0.124607089162386,3.30932939777046,0.138919714605134,1.76953852087847,0.138273938218586,3.77260519257602,0.199568397474591,1.06447984392059,0.102813707123971,3.01111961002299,0.0970130131402061,1.59664744223735,0.214689772963932,3.61788403286053,0.210594580520075,2.53232824088993,0.281715992939686,4.5654179131206,0.296568462236071,1.05051769424088,0.0946928644810563,2.99608394266744,0.0908821371736413,2.18061828991331,0.417758562105795,4.23499330304067,0.36537440100031,4.05790768091284,0.59123779723179,6.15104335420977,0.502665061641291,1.04671805503332,0.0921578213759611,2.99275281059925,0.092523592233252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",10,100,1.08665152845198,0.067009860978309,3.16056732621021,0.0539464933094378,1.36105904356036,0.0673605732535449,3.41152336769138,0.0778652532911877,0.967215357427689,0.0551847823328228,3.02896318441199,0.0663119491144107,1.20538545072367,0.0923312122344781,3.295690540991,0.066963033950349,1.75433576680243,0.0949541735441216,3.79798359383602,0.102128397572039,0.951190321059819,0.0604629895671971,3.01311857459307,0.0617623414390597,1.44285329526706,0.149624878451958,3.56593697055258,0.106010754720986,2.54088921328655,0.160440285181298,4.57090404612531,0.16047490967549,0.949163118736925,0.0620069377914337,3.0120296206154,0.0619801292990447,1.91778898435385,0.270712140421076,4.10642982967574,0.197921911664595,4.11399610625481,0.300431422070833,6.11674495070387,0.287656780798659,0.949479009929426,0.062029534630809,3.01293079359095,0.0624648872069404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",20,100,1.11906223771795,0.0271106909958877,3.13345617491932,0.0277663842619648,1.37293529604055,0.0373828501982239,3.38928758816037,0.0174961569368936,0.981609797455536,0.0200104939087019,3.02415771210111,0.0330267773896951,1.2590851181634,0.0452591597452656,3.25719083003424,0.0545599481023194,1.77106616852144,0.0618462565316472,3.77650683446467,0.0291308017303442,0.976177570690754,0.0159777344290835,3.01969693463296,0.0303733712012976,1.53913087905429,0.0833911648635677,3.50466014026406,0.111913494785771,2.56732791348322,0.112179969440047,4.55094532707327,0.059902298827267,0.975874203747675,0.0151437285268797,3.01950490948322,0.0293470832041546,2.09922240083607,0.160875851511199,3.99959876072371,0.228396930471996,4.15985140340677,0.213824241981201,6.09982231229045,0.125245644082679,0.975856288667884,0.0150716383146299,3.01953173866339,0.0290250094825225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
