"","N","T","coef1_ols","sd1_ols","coef2_ols","sd2_ols","coef1_within","sd1_within","coef2_within","sd2_within","coef1_infeasible","sd1_infeasible","coef2_infeasible","sd2_infeasible","coef1_interactive","sd1_interactive","coef2_interactive","sd2_interactive"
"1",100,3,1.08773264387986,0.117615348959808,3.12781115771629,0.0839924080072566,1.34250519391273,0.128278830538623,3.36197310965517,0.131300037751921,0.962016640874749,0.129927668592376,3.016462212488,0.133730045510815,1.0795231321114,0.131399562722772,3.09258539857908,0.158478382461302
"2",100,5,1.15666513188486,0.0782719384348073,3.07679346947444,0.0913738471964153,1.39304369050489,0.0829500662125835,3.36367992319056,0.0777184777595155,1.00923233728686,0.101306740879135,2.97950707390155,0.138973128638819,1.2394136299004,0.118512421470934,3.17836240843646,0.0809391772530335
"3",100,10,1.15313494574258,0.0593673533372783,3.17974112621678,0.0537768823799637,1.41958575699081,0.0523864780229964,3.42172664330811,0.0540196959826666,1.01313205075231,0.077452065766865,3.05014980661508,0.0598100689661046,1.22280357519642,0.0632286338772786,3.24292078937259,0.119671787731876
"4",100,20,1.1422046218502,0.0562130198220647,3.12362949705707,0.0493838680663044,1.40074477911036,0.0354991353188393,3.40604028392786,0.0350539887076902,1.00131989715546,0.0520303880964756,3.01303752385086,0.0305355164829352,1.20705492200708,0.0600573426013569,3.23456810642802,0.0566888550749432
"5",100,50,1.13634245675984,0.0257102785432226,3.12715118195443,0.032776635414893,1.40082105025958,0.0201800661603784,3.40322531175138,0.029025691592287,0.989950902964203,0.0281991757235129,2.99401822286521,0.0294402368835639,1.21536873783677,0.141370752117184,3.20443376391635,0.144004018050999
"6",100,100,1.13474057157602,0.0214598002103391,3.11584330604267,0.0193148956173354,1.4040368199285,0.0162784128356821,3.38599708440064,0.0233959042719081,0.999344137374559,0.0210325737967267,2.97496674951327,0.0109412985805872,1.01923955771168,0.040903149845384,2.99748896195659,0.0418697609013338
"7",3,100,1.0989842334641,0.127017216027925,3.09333836231329,0.123956462047203,1.40089003047821,0.147340404375313,3.34119761688396,0.105031325980374,1.00864099670461,0.138381943482521,2.97809282207324,0.101793268228315,1.00164590461949,0.272758978339605,3.05530018742474,0.322384581957398
"8",5,100,1.16436754508427,0.0527343636683252,3.11865754788912,0.0501973160837684,1.40363029238245,0.125693298956308,3.41964867568601,0.0477939029557779,1.00359275760873,0.0404313128632953,2.98658935521189,0.0717606218679104,1.09886780524275,0.0711571735756069,3.17035389891296,0.160058374168278
"9",10,100,1.08890219822741,0.0919206516154262,3.13660961093131,0.0404275639708727,1.36917826449896,0.0689335351978809,3.38584664554919,0.0421408721502147,0.948013806392019,0.0587792212012711,2.99624146374581,0.0343506680302979,1.08268295094036,0.144601083556428,3.09678986973176,0.125917444900266
"10",20,100,1.15743318735197,0.0299311153483333,3.12571827315046,0.05842421114221,1.42502215717075,0.0514602495143338,3.38436010352925,0.0569621347402401,1.01160022338247,0.0508251224621927,2.99025738088899,0.0413374915975787,1.06963374871239,0.115494053253471,3.05704752665836,0.0770946506580272
"11",50,100,1.13241471587971,0.0303086644444882,3.12554469189925,0.0344371371309358,1.39735679863472,0.0294699398409474,3.40011034924449,0.0327410507153942,0.994135172481084,0.0294520250161944,2.99526082115562,0.0264690814375759,1.0246198811816,0.0514816600131642,3.0277760427249,0.0189790950101999
