"","N","T","coef1_ols","sd1_ols","coef2_ols","sd2_ols","coef3_ols","sd3_ols","coef1_within","sd1_within","coef2_within","sd2_within","coef3_within","sd3_within","coef1_infeasible","sd1_infeasible","coef2_infeasible","sd2_infeasible","coef3_infeasible","sd3_infeasible","coef1_interactive","sd1_interactive","coef2_interactive","sd2_interactive","coef3_interactive","sd3_interactive"
"1",100,5,1.20052147035225,0.051123063282992,3.25587564794652,0.0504230626741903,0.723846970951287,0.0081903306846827,1.3461348965977,0.0622285014421411,3.38557818131647,0.062361613779345,0.690198378139678,0.0327508702802815,0.989418700013935,0.0909353545946256,2.99427725713697,0.0545993281691675,0.751763522879683,0.0110468699520786,1.03535093218969,0.223275330437759,2.99041060674189,0.209961160616066,0.687321730087809,0.0618585616817581
"2",100,10,1.19244002471142,0.0742113801154719,3.21154667189523,0.0629214282530713,0.72967265917981,0.00833653883502911,1.36209952426925,0.0625273247656913,3.37523313855318,0.056367603237204,0.730947579605951,0.0196222131618792,0.992316443245842,0.0777611700667028,3.01364002786874,0.0479226556300323,0.750442672896807,0.00569186586716822,1.02323455985094,0.099934100233136,3.05269134759745,0.0505115780498536,0.746655878922815,0.00710793924921503
"3",100,20,1.19880038314671,0.0243058879175965,3.20686334345975,0.0391856977997406,0.729324113730872,0.00275455129329155,1.39789568758516,0.0277496037969725,3.41654377681287,0.0328134740173789,0.744813818592716,0.00454118978454101,0.993750443996339,0.0346504422296394,2.99508064196247,0.0234732308729019,0.750517766018558,0.00356633063902709,1.01498541965017,0.0381125039554168,3.0137432994099,0.0322591774922593,0.748524538359645,0.00436954652598206
"4",100,30,1.19724694636987,0.0233754558512857,3.16987780037292,0.0484878951562656,0.731568888719945,0.00333922600336388,1.41287417189313,0.0466473190247837,3.38482187991929,0.0298075774497679,0.745722633764065,0.00586049277924531,1.0254286506525,0.0252090883392906,2.99788358836081,0.04150629526627,0.749466295158353,0.00205575757089452,1.04340541527354,0.0317462347110849,3.01114372290608,0.0426642476142919,0.747585322994765,0.00264414591772816
"5",100,50,1.1923537286318,0.0341609392292092,3.19429888132307,0.026149956985437,0.728615423734878,0.00427162898679866,1.39448524968831,0.0157239430215089,3.39949795585353,0.0315900207142191,0.746606370870526,0.00233234440674652,1.00140393297664,0.026184013086531,3.00212335344487,0.0273043772510336,0.749750917342501,0.00130586551563987,1.00335330738091,0.0327520201208547,3.00200893763988,0.0316165938737499,0.75007610827566,0.00234018413866596
"6",100,100,1.19547986071075,0.0229000512372744,3.18588812988526,0.0149489177284656,0.730233251367219,0.00204806280517288,1.39913953775715,0.018461030961017,3.39678789917014,0.013266641107353,0.747364513627527,0.00246771831767775,1.00459453541653,0.0162099123381661,3.00148742708572,0.0159212475065183,0.749400035142668,0.000852204192725327,1.00669037970783,0.0199500376083208,3.00207743936156,0.0189415116646444,0.748784728543699,0.00120654182500225
"7",5,100,1.18927947574011,0.071157091721282,3.17804755224907,0.0756394325613241,0.732125962786272,0.00644708312272773,1.38469419267019,0.0780063012622233,3.37549752065999,0.0758328306210848,0.749065293672147,0.00878677121399684,0.979527359553219,0.0600056150406112,2.98273116645154,0.0989660518404611,0.751107677670812,0.00376031785958353,0.987942489158263,0.225514182292732,2.97650254842929,0.114137552404065,0.742051433230083,0.0106890902968475
"8",10,100,1.20441779802259,0.0688987788488284,3.17967185600252,0.0489381861450462,0.730102779484249,0.00572263190930425,1.38417764536646,0.0362541975531766,3.37417751864618,0.0511555637027906,0.746144136558563,0.00844740855850286,1.0091510560498,0.0612510200114944,2.99797296992765,0.0350221340067961,0.748320091841836,0.00325995618126883,1.05668115137029,0.086800937820981,3.06215858773003,0.0932176009886813,0.744367002588155,0.0087261922613116
"9",20,100,1.19245419026868,0.0530721103255539,3.17451165785603,0.0408031208959659,0.733799118492011,0.00402668636480029,1.39519295314598,0.051156175039486,3.3777312755009,0.0425857127826064,0.750859959890091,0.00378739639309042,1.0024701276326,0.0485005130555721,2.98562675157781,0.038618171141197,0.750811305931608,0.00197506108751278,1.00069193659716,0.0548798328045916,2.98531165370242,0.0598677938013275,0.750970818679333,0.00420551670387901
"10",30,100,1.20670116128373,0.0368515576571904,3.1909405922274,0.0374375622509868,0.730006786732037,0.00279471696171499,1.40836568486307,0.0210566482047351,3.39192240271796,0.0343734795870068,0.749414254371629,0.00364957001869449,1.00578656429813,0.0332379073557435,2.98975619154834,0.030009907283818,0.749799754318705,0.00171013488660606,1.01321165356017,0.0415696595796564,3.00404628842325,0.0422855026261725,0.748704161171129,0.00292655690618894
"11",50,100,1.19930387970823,0.036297583639098,3.18637849515025,0.0288588950527511,0.731041246211295,0.00362218780687813,1.40345460876189,0.0386494910070793,3.39523036858449,0.026222207542393,0.7478500316107,0.00244016015297985,1.0017330771713,0.0243462107977231,3.00074495345723,0.0266349711446469,0.749429658168185,0.0012168344099953,0.998935940681306,0.0284625860749917,3.00082811939707,0.0316431536971993,0.749441460328586,0.00126112365742265
