"","N","T","coef1_ols","sd1_ols","coef2_ols","sd2_ols","coef1_within","sd1_within","coef2_within","sd2_within","coef1_infeasible","sd1_infeasible","coef2_infeasible","sd2_infeasible","coef1_interactive","sd1_interactive","coef2_interactive","sd2_interactive"
"1",100,3,1.12149997491142,0.0915363490354957,3.07347521970295,0.0705835705745877,1.08303350879537,0.120341189487491,2.98677007502808,0.122869734926747,1.13246521543745,0.199172896080326,2.9471443420263,0.174963757512397,1.15368591262836,0.14533948793337,3.13994888497648,0.114709869593731
"2",100,5,1.11094473116455,0.0788482344492172,3.09663059179137,0.0592630600532756,0.998843115732086,0.112239602013345,2.96131679932245,0.0633029946465861,1.00350995616803,0.106745059970767,2.98296602392992,0.0861185904539064,1.11456333069855,0.1474033016436,3.05286382050457,0.128912244592071
"3",100,10,1.12604199801365,0.0338291206285821,3.09581746004029,0.0403831225593162,1.02003661914337,0.0413991357944171,2.99352550235936,0.0689748776460686,1.00641787911622,0.030727759115682,2.98889176585119,0.0696050136667551,1.16459377613863,0.0451166519884566,3.15440621932296,0.0428708473117472
"4",100,20,1.11650038207488,0.040492742250311,3.10734871728886,0.045055245100956,1.00167153343393,0.0532970895102218,3.0056139707137,0.0299194035913611,1.00426565053623,0.0472111642011103,3.00760779219937,0.0324876768949161,1.14262616920022,0.0599428317956574,3.13812729227074,0.0639130536064968
"5",100,50,1.11151348721121,0.0321203926385233,3.11193439641674,0.0261036553021094,1.00589976101217,0.0183953196751961,3.00408122343683,0.0314536085175188,1.00384019551118,0.0205954322517886,3.0026588456769,0.0320211633781313,1.13004837360718,0.0745579984384506,3.12751894635759,0.0538819390814824
"6",100,100,1.11875332863632,0.0140894245521144,3.10654296565909,0.0125267500289392,1.00157334243748,0.0234523498925671,2.99308448506123,0.0105178797474474,1.0013725293606,0.0234380018298857,2.99243373203289,0.010072265942877,1.06921107381522,0.0843020856087855,3.05900356896127,0.0724948592459705
"7",3,100,1.1645607505829,0.0824623635914792,3.05634923402828,0.0928467655856038,1.0751202151409,0.178134548444908,2.9655330923618,0.166707562929287,1.0486091856131,0.123707875271159,2.95051192685543,0.121994535990046,1.18648366717739,0.236158139618625,3.12454245600278,0.194984908443268
"8",5,100,1.11871698621369,0.0439363016970179,3.11213607708142,0.0578596311772217,1.02621595086737,0.065084838509041,3.0325368903882,0.0882891248303282,1.03538322091855,0.0512935034764487,3.0285649648611,0.0745725194897011,1.15264414309336,0.0874221467919288,3.12960232332737,0.0733804313396963
"9",10,100,1.13465294236034,0.0400525682549147,3.10522562716715,0.0520309914518558,1.0221717155769,0.048253159940598,2.99175363617551,0.0758688629887714,1.01763667607836,0.036119787182131,2.99189134240288,0.0667651884489983,1.17536340542202,0.0333690280592841,3.13468360869263,0.0699326602232026
"10",20,100,1.12739521277969,0.0283681664300472,3.07807379281845,0.0384954927760827,1.02199788519099,0.0459186882491583,2.97498024651638,0.0511708666569462,1.02242373702436,0.0408632481981009,2.97740784850488,0.0508303959597197,1.18816370894493,0.0354314140668319,3.12955659190253,0.0383353519885224
"11",50,100,1.10343187986089,0.0185754331977639,3.11991234685774,0.0141081675439284,1.00095082381304,0.0268970226556289,3.00848087331515,0.0148164853783031,1.00037828370776,0.0245368812652488,3.0093164672429,0.0169776629018276,1.14170244077921,0.0527712780797226,3.15111565821873,0.0443913343307961
